window_idx,start,end,n_hours,observed_mean,observed_p90,observed_max,mean_mae_supervised
118,2024-12-07,2024-12-13 23:00:00,168,31.910714285714285,68.0,77.0,12.136332352503162
119,2024-12-08,2024-12-14 23:00:00,168,30.946428571428573,63.30000000000001,77.0,10.549343329066103
120,2024-12-09,2024-12-15 23:00:00,168,24.982142857142858,42.0,63.0,9.322755793417151
121,2024-12-10,2024-12-16 23:00:00,168,24.916666666666668,41.0,63.0,9.0317097455789
122,2024-12-11,2024-12-17 23:00:00,168,26.982142857142858,43.0,68.0,9.725648710425915
123,2024-12-12,2024-12-18 23:00:00,168,27.476190476190474,44.0,68.0,11.034527754050696
124,2024-12-21,2024-12-27 23:00:00,168,29.672619047619047,58.30000000000001,77.0,13.228360642811987
125,2024-12-22,2024-12-28 23:00:00,168,25.595238095238095,58.30000000000001,77.0,13.23438020316211
126,2024-12-23,2024-12-29 23:00:00,168,18.446428571428573,50.30000000000001,77.0,12.719344867182802
127,2024-12-24,2024-12-30 23:00:00,168,13.821428571428571,43.30000000000001,65.0,11.191299719805318
128,2024-12-25,2024-12-31 23:00:00,168,12.035714285714286,39.30000000000001,58.0,9.942403031152523
