target_timestamp,y_true,baseline_y_pred,baseline_lower,baseline_upper,best_y_pred,best_lower,best_upper
2024-01-21 13:00:00,58.0,68.0,41.0,95.0,54.36763175620123,33.826406807249285,68.52431595492088
2024-01-21 14:00:00,57.0,71.0,44.0,98.0,57.20235550497855,35.682584797666145,72.59755756758238
2024-01-21 15:00:00,60.0,74.0,47.0,101.0,58.74610685712669,40.14808988344801,73.0758732335772
2024-01-21 16:00:00,57.0,72.0,45.0,99.0,58.42181315435039,41.77045855291868,72.90196822269958
2024-01-21 17:00:00,62.0,61.0,34.0,88.0,55.09115207746966,34.83839896862803,70.89968028291582
2024-01-21 18:00:00,51.0,43.0,16.0,70.0,43.60460940377937,25.403088831575037,66.69368559038169
2024-01-21 19:00:00,25.0,31.0,4.0,58.0,35.61638887671515,10.861552203991293,56.32471839263614
2024-01-21 20:00:00,16.0,29.0,2.0,56.0,30.823789167031805,7.78822419067061,54.32700383818084
2024-01-21 21:00:00,27.0,28.0,1.0,55.0,28.50520527159653,7.154985277056472,54.550206805797814
2024-01-21 22:00:00,35.0,21.0,-6.0,48.0,28.503340972198842,6.514895149914846,53.14626502519495
2024-01-21 23:00:00,31.0,24.0,-3.0,51.0,29.637097722743295,7.031769055415227,54.29170377959241
2024-01-22 00:00:00,32.0,16.0,-11.0,43.0,24.567079098078846,2.9772438397965377,52.350755107693445
2024-01-22 01:00:00,34.0,14.0,-13.0,41.0,23.030227600588603,3.0666069933825266,50.38911422055757
2024-01-22 02:00:00,43.0,35.0,8.0,62.0,25.509616619913462,3.0939380941940535,53.39639173321636
2024-01-22 03:00:00,43.0,27.0,0.0,54.0,25.50297086327208,1.252037079569504,53.92156124026047
2024-01-22 04:00:00,40.0,37.0,10.0,64.0,27.67581313089979,2.4451526411086695,54.2799250202347
2024-01-22 05:00:00,26.0,45.0,18.0,72.0,28.835268450885778,2.893417826662476,53.99980168838805
2024-01-22 06:00:00,30.0,38.0,11.0,65.0,24.856929594871655,2.5856390692947646,49.22862771469103
2024-01-22 07:00:00,6.0,29.0,2.0,56.0,18.531532097733873,2.7844255656244306,42.3734366332239
2024-01-22 08:00:00,1.0,29.0,2.0,56.0,17.82984806562277,3.1161033537775755,40.43193403588811
2024-01-22 09:00:00,15.0,26.0,-1.0,53.0,19.453908591890258,5.2894459517729775,42.49208335976426
2024-01-22 10:00:00,11.0,43.0,16.0,70.0,28.20067963671316,8.33441031474556,47.743400375819206
2024-01-22 11:00:00,30.0,50.0,23.0,77.0,32.9949894567562,11.965926530234118,51.72911381243338
2024-01-22 12:00:00,37.0,63.0,36.0,90.0,42.043869012197604,20.110560330160858,58.34465572975063
2024-01-22 13:00:00,39.0,58.0,31.0,85.0,46.56779932717009,25.22450182211307,63.33136147977949
2024-01-22 14:00:00,39.0,57.0,30.0,84.0,45.6983808818267,24.186747596005862,62.742625861132524
2024-01-22 15:00:00,52.0,60.0,33.0,87.0,47.44655323815557,23.9050701800878,62.466528964195824
2024-01-22 16:00:00,41.0,57.0,30.0,84.0,42.69440778188122,21.9435513828473,61.82226497368536
2024-01-22 17:00:00,20.0,62.0,35.0,89.0,43.852887172377756,21.81919588005776,61.03310190451296
2024-01-22 18:00:00,12.0,51.0,24.0,78.0,35.14940901638202,13.547172906728585,56.94691832396266
2024-01-22 19:00:00,15.0,25.0,-2.0,52.0,23.39414263177377,1.1469600667345659,50.05258361254012
2024-01-22 20:00:00,15.0,16.0,-11.0,43.0,18.80769081268527,-0.5324553560092227,47.46335674134427
2024-01-22 21:00:00,29.0,27.0,0.0,54.0,19.856362621055386,0.7408038457969521,48.3814317029928
2024-01-22 22:00:00,36.0,35.0,8.0,62.0,22.773419064527772,1.5556912223346826,50.95363853153722
2024-01-22 23:00:00,42.0,31.0,4.0,58.0,22.74251968836677,1.3906755434444005,50.538548119474925
2024-01-23 00:00:00,33.0,32.0,5.0,59.0,22.66183829409953,1.2283395707726537,49.57509864745809
2024-01-23 01:00:00,9.0,34.0,7.0,61.0,22.99372224657593,1.0036642317827789,49.580153480528345
2024-01-23 02:00:00,2.0,43.0,16.0,70.0,26.942790702972196,2.5155357436350965,53.942730129494976
2024-01-23 03:00:00,1.0,43.0,16.0,70.0,26.844947674813543,1.4985526321793126,53.906646539276785
2024-01-23 04:00:00,1.0,40.0,13.0,67.0,27.408767683697654,1.000595814798872,53.25849146175744
2024-01-23 05:00:00,1.0,26.0,-1.0,53.0,24.687687256970886,1.5199266450276592,50.4222083839172
2024-01-23 06:00:00,1.0,30.0,3.0,57.0,23.120770818752078,1.1826402446083883,45.491963266368415
2024-01-23 07:00:00,1.0,6.0,-21.0,33.0,12.955603705733957,0.8284119714181553,36.23177024722875
2024-01-23 08:00:00,2.0,1.0,-26.0,28.0,10.976121587036648,0.6950814318663228,32.7431639141316
2024-01-23 09:00:00,3.0,15.0,-12.0,42.0,14.607840298933525,2.39625166412387,33.99840422046789
2024-01-23 10:00:00,12.0,11.0,-16.0,38.0,19.425813190875356,3.8089312089628278,37.692415682113406
2024-01-23 11:00:00,23.0,30.0,3.0,57.0,27.444537963786935,5.931992509072881,46.71663601125234
2024-01-23 12:00:00,35.0,37.0,10.0,64.0,35.68806645451785,13.23164808493176,53.817523413412616
2024-01-23 13:00:00,41.0,39.0,12.0,66.0,37.059027338385825,15.92926902733992,55.50147984924138
2024-01-23 14:00:00,53.0,39.0,12.0,66.0,38.24545479994879,16.536198772095187,55.810189151915736
2024-01-23 15:00:00,57.0,52.0,25.0,79.0,42.22442626462324,21.733704414904235,60.1867538085096
2024-01-23 16:00:00,49.0,41.0,14.0,68.0,38.15770147567546,15.406279799619078,55.99333605011309
2024-01-23 17:00:00,35.0,20.0,-7.0,47.0,32.30755012776946,10.64035728801283,50.75098819659633
2024-01-23 18:00:00,26.0,12.0,-15.0,39.0,22.670021389299748,3.9506927281925046,44.50226101059111
2024-01-23 19:00:00,7.0,15.0,-12.0,42.0,16.358601750437693,0.5580491024541265,39.86150946671529
2024-01-23 20:00:00,3.0,15.0,-12.0,42.0,14.864261447290474,0.20393641747986457,39.34114186322155
2024-01-23 21:00:00,1.0,29.0,2.0,56.0,19.823694648978844,0.9232091898035439,43.705961040868786
2024-01-23 22:00:00,1.0,36.0,9.0,63.0,22.01175765720029,1.9496406499446581,47.53385582449072
2024-01-23 23:00:00,1.0,42.0,15.0,69.0,24.26617511774008,2.3135412571728544,49.250299494531745
2024-01-24 00:00:00,3.0,33.0,6.0,60.0,22.06760523680219,1.497847802215198,47.43439066815213
2024-01-24 01:00:00,11.0,9.0,-18.0,36.0,17.53068411341825,0.46495198607314814,43.375309732747226
2024-01-24 02:00:00,13.0,2.0,-25.0,29.0,17.215114750210077,0.5093485028566329,44.1296776952919
2024-01-24 03:00:00,12.0,1.0,-26.0,28.0,17.532092035291367,0.49076259044145676,44.06294600498596
2024-01-24 04:00:00,18.0,1.0,-26.0,28.0,16.95189389402238,0.2735589168372705,42.48627915808974
2024-01-24 05:00:00,3.0,1.0,-26.0,28.0,14.362846743786847,0.12564684140470117,38.360667438591534
2024-01-24 06:00:00,1.0,1.0,-26.0,28.0,12.454907131107863,0.22747575071313086,32.85559643254575
2024-01-24 07:00:00,1.0,1.0,-26.0,28.0,7.942837444945937,0.31084154492275484,26.650813713868168
2024-01-24 08:00:00,2.0,2.0,-25.0,29.0,7.5883040310651,0.32540075350858544,25.113836353292122
2024-01-24 09:00:00,3.0,3.0,-24.0,30.0,9.890904662276704,1.1027321682689593,27.699148141393827
2024-01-24 10:00:00,1.0,12.0,-15.0,39.0,14.698216906716901,1.6296497586846992,31.519040288128586
2024-01-24 11:00:00,3.0,23.0,-4.0,50.0,21.17615319225123,3.5786903680240902,40.24323065121815
2024-01-24 12:00:00,10.0,35.0,8.0,62.0,28.299722588982938,7.247046844090449,46.614034416735684
2024-01-24 13:00:00,17.0,41.0,14.0,68.0,32.6404353966329,10.313116322685246,51.052871597973585
